Value,Category
#2b1a00 has 236 warming points and 700 minimum,Low Temperature (cold) 700
#0fbcff has 20 warming points and 700 minimum,Low Temperature (cold) 700
#98009e has 790 warming points and 700 minimum,Hight Temperature (warm) 700
#145dff has 28 warming points and 700 minimum,Low Temperature (cold) 700
#10ffff has 22 warming points and 700 minimum,Low Temperature (cold) 700
#730e80 has 598 warming points and 700 minimum,Low Temperature (cold) 700
#0b54ff has 14 warming points and 700 minimum,Low Temperature (cold) 700
#135dff has 24 warming points and 700 minimum,Low Temperature (cold) 700
#9e00a4 has 821 warming points and 700 minimum,Hight Temperature (warm) 700
#94009a has 769 warming points and 700 minimum,Hight Temperature (warm) 700
#0f58ff has 20 warming points and 700 minimum,Low Temperature (cold) 700
#155eff has 28 warming points and 700 minimum,Low Temperature (cold) 700
#b8ffe5 has 256 warming points and 700 minimum,Low Temperature (cold) 700
#afffdb has 244 warming points and 700 minimum,Low Temperature (cold) 700
#dd1c00 has 1215 warming points and 700 minimum,Hight Temperature (warm) 700
#df1d00 has 1226 warming points and 700 minimum,Hight Temperature (warm) 700
#e31e00 has 1248 warming points and 700 minimum,Hight Temperature (warm) 700
#9a9600 has 847 warming points and 700 minimum,Hight Temperature (warm) 700
#787000 has 660 warming points and 700 minimum,Low Temperature (cold) 700
#403300 has 352 warming points and 700 minimum,Low Temperature (cold) 700
#7500e5 has 608 warming points and 700 minimum,Low Temperature (cold) 700
#04bfff has 4 warming points and 700 minimum,Low Temperature (cold) 700
#0c57ff has 16 warming points and 700 minimum,Low Temperature (cold) 700
#7c0081 has 644 warming points and 700 minimum,Low Temperature (cold) 700
#0851ff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#b9ffe6 has 258 warming points and 700 minimum,Low Temperature (cold) 700
#da1700 has 1199 warming points and 700 minimum,Hight Temperature (warm) 700
#e11c00 has 1237 warming points and 700 minimum,Hight Temperature (warm) 700
#e82000 has 1276 warming points and 700 minimum,Hight Temperature (warm) 700
#a4a100 has 902 warming points and 700 minimum,Hight Temperature (warm) 700
#02fffd has 2 warming points and 700 minimum,Low Temperature (cold) 700
#2c002e has 228 warming points and 700 minimum,Low Temperature (cold) 700
#86008c has 696 warming points and 700 minimum,Low Temperature (cold) 700
#e51100 has 1259 warming points and 700 minimum,Hight Temperature (warm) 700
#e41c00 has 1254 warming points and 700 minimum,Hight Temperature (warm) 700
#0557ff has 6 warming points and 700 minimum,Low Temperature (cold) 700
#1361ff has 24 warming points and 700 minimum,Low Temperature (cold) 700
#96009c has 780 warming points and 700 minimum,Hight Temperature (warm) 700
#88008e has 707 warming points and 700 minimum,Hight Temperature (warm) 700
#e21000 has 1243 warming points and 700 minimum,Hight Temperature (warm) 700
#e61200 has 1265 warming points and 700 minimum,Hight Temperature (warm) 700
#b0ffd9 has 246 warming points and 700 minimum,Low Temperature (cold) 700
#10ff34 has 22 warming points and 700 minimum,Low Temperature (cold) 700
#8a7e00 has 759 warming points and 700 minimum,Hight Temperature (warm) 700
#6d6200 has 599 warming points and 700 minimum,Low Temperature (cold) 700
#3d2f00 has 335 warming points and 700 minimum,Low Temperature (cold) 700
#7e00e5 has 655 warming points and 700 minimum,Low Temperature (cold) 700
#0050b7 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#00fafd has 0 warming points and 700 minimum,Low Temperature (cold) 700
#dd0f00 has 1215 warming points and 700 minimum,Hight Temperature (warm) 700
#baffe6 has 260 warming points and 700 minimum,Low Temperature (cold) 700
#b9ffe5 has 258 warming points and 700 minimum,Low Temperature (cold) 700
#948800 has 814 warming points and 700 minimum,Hight Temperature (warm) 700
#00f7fd has 0 warming points and 700 minimum,Low Temperature (cold) 700
#640068 has 520 warming points and 700 minimum,Low Temperature (cold) 700
#0eff34 has 18 warming points and 700 minimum,Low Temperature (cold) 700
#321500 has 275 warming points and 700 minimum,Low Temperature (cold) 700
#4c3300 has 418 warming points and 700 minimum,Low Temperature (cold) 700
#5c4300 has 506 warming points and 700 minimum,Low Temperature (cold) 700
#967d00 has 825 warming points and 700 minimum,Hight Temperature (warm) 700
#1059ff has 22 warming points and 700 minimum,Low Temperature (cold) 700
#165fff has 30 warming points and 700 minimum,Low Temperature (cold) 700
#bbffe7 has 260 warming points and 700 minimum,Low Temperature (cold) 700
#baffe7 has 260 warming points and 700 minimum,Low Temperature (cold) 700
#dd1a00 has 1215 warming points and 700 minimum,Hight Temperature (warm) 700
#302100 has 264 warming points and 700 minimum,Low Temperature (cold) 700
#2e1d00 has 253 warming points and 700 minimum,Low Temperature (cold) 700
#0ce5ff has 16 warming points and 700 minimum,Low Temperature (cold) 700
#614800 has 533 warming points and 700 minimum,Low Temperature (cold) 700
#0fbfff has 20 warming points and 700 minimum,Low Temperature (cold) 700
#002dfe has 0 warming points and 700 minimum,Low Temperature (cold) 700
#00effd has 0 warming points and 700 minimum,Low Temperature (cold) 700
#de1000 has 1221 warming points and 700 minimum,Hight Temperature (warm) 700
#312200 has 269 warming points and 700 minimum,Low Temperature (cold) 700
#d5bb00 has 1171 warming points and 700 minimum,Hight Temperature (warm) 700
#61005e has 504 warming points and 700 minimum,Low Temperature (cold) 700
#5d0060 has 483 warming points and 700 minimum,Low Temperature (cold) 700
#846d00 has 726 warming points and 700 minimum,Hight Temperature (warm) 700
#af9800 has 962 warming points and 700 minimum,Hight Temperature (warm) 700
#947d00 has 814 warming points and 700 minimum,Hight Temperature (warm) 700
